cluster,task,n_active,n_valid,n_toxic,n_nontoxic,pct_toxic,pct_nontoxic
22,NR-ER-LBD,4,3,0,3,0.0,100.0
22,SR-ATAD5,4,3,0,3,0.0,100.0
22,SR-p53,4,3,0,3,0.0,100.0
23,NR-AR,1,1,1,0,100.0,0.0
23,NR-Aromatase,1,1,0,1,0.0,100.0
23,NR-AR-LBD,1,1,1,0,100.0,0.0
23,SR-MMP,1,1,1,0,100.0,0.0
23,NR-AhR,1,1,0,1,0.0,100.0
23,SR-ATAD5,1,1,0,1,0.0,100.0
24,NR-AR,2,2,0,2,0.0,100.0
24,NR-Aromatase,2,2,0,2,0.0,100.0
24,NR-PPAR-gamma,2,2,0,2,0.0,100.0
24,SR-HSE,2,2,0,2,0.0,100.0
24,NR-AR-LBD,2,2,0,2,0.0,100.0
24,SR-ARE,2,2,0,2,0.0,100.0
24,SR-MMP,2,1,0,1,0.0,100.0
24,NR-AhR,2,2,1,1,50.0,50.0
24,NR-ER-LBD,2,2,0,2,0.0,100.0
24,SR-ATAD5,2,2,0,2,0.0,100.0
24,SR-p53,2,2,0,2,0.0,100.0
25,NR-AR,18,16,0,16,0.0,100.0
25,NR-Aromatase,18,16,2,14,12.5,87.5
25,NR-PPAR-gamma,18,14,0,14,0.0,100.0
25,SR-HSE,18,14,4,10,28.57,71.43
25,NR-AR-LBD,18,14,0,14,0.0,100.0
25,NR-ER,18,14,1,13,7.14,92.86
25,SR-ARE,18,13,1,12,7.69,92.31
25,SR-MMP,18,12,3,9,25.0,75.0
25,NR-AhR,18,16,0,16,0.0,100.0
25,NR-ER-LBD,18,14,0,14,0.0,100.0
25,SR-ATAD5,18,16,0,16,0.0,100.0
25,SR-p53,18,16,2,14,12.5,87.5
29,NR-AR,2,2,0,2,0.0,100.0
29,NR-Aromatase,2,2,0,2,0.0,100.0
29,NR-PPAR-gamma,2,2,0,2,0.0,100.0
29,NR-AR-LBD,2,2,0,2,0.0,100.0
29,NR-ER,2,2,0,2,0.0,100.0
29,SR-MMP,2,2,0,2,0.0,100.0
29,NR-AhR,2,1,0,1,0.0,100.0
29,NR-ER-LBD,2,2,0,2,0.0,100.0
29,SR-ATAD5,2,2,0,2,0.0,100.0
29,SR-p53,2,2,0,2,0.0,100.0
30,NR-AR,1,1,0,1,0.0,100.0
30,NR-Aromatase,1,1,0,1,0.0,100.0
30,NR-PPAR-gamma,1,1,0,1,0.0,100.0
30,SR-HSE,1,1,0,1,0.0,100.0
30,NR-AR-LBD,1,1,0,1,0.0,100.0
30,NR-ER,1,1,0,1,0.0,100.0
30,SR-ARE,1,1,0,1,0.0,100.0
30,SR-MMP,1,1,0,1,0.0,100.0
30,NR-AhR,1,1,0,1,0.0,100.0
30,NR-ER-LBD,1,1,0,1,0.0,100.0
30,SR-ATAD5,1,1,0,1,0.0,100.0
30,SR-p53,1,1,0,1,0.0,100.0
31,NR-AR,1,1,0,1,0.0,100.0
31,NR-Aromatase,1,1,0,1,0.0,100.0
31,NR-PPAR-gamma,1,1,0,1,0.0,100.0
31,SR-HSE,1,1,0,1,0.0,100.0
31,NR-AR-LBD,1,1,0,1,0.0,100.0
31,NR-ER,1,1,0,1,0.0,100.0
31,SR-ARE,1,1,0,1,0.0,100.0
31,SR-MMP,1,1,0,1,0.0,100.0
31,NR-AhR,1,1,0,1,0.0,100.0
31,NR-ER-LBD,1,1,0,1,0.0,100.0
31,SR-ATAD5,1,1,0,1,0.0,100.0
31,SR-p53,1,1,0,1,0.0,100.0
32,NR-AR,1,1,0,1,0.0,100.0
32,NR-PPAR-gamma,1,1,0,1,0.0,100.0
32,SR-HSE,1,1,0,1,0.0,100.0
32,NR-AR-LBD,1,1,0,1,0.0,100.0
32,NR-ER,1,1,0,1,0.0,100.0
32,NR-AhR,1,1,0,1,0.0,100.0
32,NR-ER-LBD,1,1,0,1,0.0,100.0
32,SR-ATAD5,1,1,0,1,0.0,100.0
32,SR-p53,1,1,0,1,0.0,100.0
33,NR-AR,3,3,0,3,0.0,100.0
33,NR-Aromatase,3,2,0,2,0.0,100.0
33,NR-PPAR-gamma,3,1,0,1,0.0,100.0
33,SR-HSE,3,1,0,1,0.0,100.0
33,NR-AR-LBD,3,3,0,3,0.0,100.0
33,NR-ER,3,1,0,1,0.0,100.0
33,SR-ARE,3,2,0,2,0.0,100.0
33,SR-MMP,3,1,0,1,0.0,100.0
33,NR-AhR,3,3,0,3,0.0,100.0
33,NR-ER-LBD,3,3,0,3,0.0,100.0
33,SR-ATAD5,3,3,0,3,0.0,100.0
33,SR-p53,3,2,0,2,0.0,100.0
34,NR-AR,1,1,0,1,0.0,100.0
34,NR-Aromatase,1,1,0,1,0.0,100.0
34,NR-PPAR-gamma,1,1,0,1,0.0,100.0
34,NR-AR-LBD,1,1,0,1,0.0,100.0
34,NR-ER,1,1,0,1,0.0,100.0
34,SR-MMP,1,1,0,1,0.0,100.0
34,NR-AhR,1,1,0,1,0.0,100.0
34,NR-ER-LBD,1,1,0,1,0.0,100.0
34,SR-ATAD5,1,1,0,1,0.0,100.0
34,SR-p53,1,1,0,1,0.0,100.0
35,NR-AR,2,1,0,1,0.0,100.0
35,NR-Aromatase,2,1,0,1,0.0,100.0
35,NR-PPAR-gamma,2,1,0,1,0.0,100.0
35,SR-HSE,2,2,0,2,0.0,100.0
35,NR-AR-LBD,2,1,0,1,0.0,100.0
35,NR-ER,2,1,0,1,0.0,100.0
35,SR-ARE,2,2,0,2,0.0,100.0
35,SR-MMP,2,1,0,1,0.0,100.0
35,NR-AhR,2,1,0,1,0.0,100.0
35,NR-ER-LBD,2,1,0,1,0.0,100.0
35,SR-ATAD5,2,1,0,1,0.0,100.0
35,SR-p53,2,1,0,1,0.0,100.0
36,NR-AR,5,5,0,5,0.0,100.0
36,NR-Aromatase,5,4,0,4,0.0,100.0
36,NR-PPAR-gamma,5,5,1,4,20.0,80.0
36,SR-HSE,5,4,0,4,0.0,100.0
36,NR-AR-LBD,5,5,1,4,20.0,80.0
36,NR-ER,5,5,1,4,20.0,80.0
36,SR-ARE,5,4,0,4,0.0,100.0
36,SR-MMP,5,3,0,3,0.0,100.0
36,NR-AhR,5,5,0,5,0.0,100.0
36,NR-ER-LBD,5,4,1,3,25.0,75.0
36,SR-ATAD5,5,5,1,4,20.0,80.0
36,SR-p53,5,5,1,4,20.0,80.0
37,NR-AR,1,1,0,1,0.0,100.0
37,NR-PPAR-gamma,1,1,0,1,0.0,100.0
37,SR-HSE,1,1,0,1,0.0,100.0
37,NR-AR-LBD,1,1,0,1,0.0,100.0
37,NR-ER,1,1,1,0,100.0,0.0
37,SR-ARE,1,1,1,0,100.0,0.0
37,SR-MMP,1,1,0,1,0.0,100.0
37,NR-ER-LBD,1,1,0,1,0.0,100.0
37,SR-ATAD5,1,1,0,1,0.0,100.0
37,SR-p53,1,1,0,1,0.0,100.0
38,NR-AR,2,1,0,1,0.0,100.0
38,NR-Aromatase,2,1,0,1,0.0,100.0
38,NR-PPAR-gamma,2,1,0,1,0.0,100.0
38,SR-HSE,2,2,0,2,0.0,100.0
38,NR-AR-LBD,2,1,0,1,0.0,100.0
38,NR-ER,2,1,0,1,0.0,100.0
38,SR-ARE,2,2,0,2,0.0,100.0
38,SR-MMP,2,1,0,1,0.0,100.0
38,NR-AhR,2,1,0,1,0.0,100.0
38,NR-ER-LBD,2,1,0,1,0.0,100.0
38,SR-ATAD5,2,1,0,1,0.0,100.0
38,SR-p53,2,1,0,1,0.0,100.0
39,NR-AR,1,1,0,1,0.0,100.0
39,NR-Aromatase,1,1,0,1,0.0,100.0
39,NR-PPAR-gamma,1,1,0,1,0.0,100.0
39,SR-HSE,1,1,0,1,0.0,100.0
39,NR-AR-LBD,1,1,0,1,0.0,100.0
39,NR-ER,1,1,0,1,0.0,100.0
39,SR-MMP,1,1,0,1,0.0,100.0
39,NR-AhR,1,1,0,1,0.0,100.0
39,NR-ER-LBD,1,1,0,1,0.0,100.0
39,SR-ATAD5,1,1,0,1,0.0,100.0
39,SR-p53,1,1,0,1,0.0,100.0
40,NR-AR,11,10,0,10,0.0,100.0
40,NR-Aromatase,11,9,0,9,0.0,100.0
40,NR-PPAR-gamma,11,9,0,9,0.0,100.0
40,SR-HSE,11,8,1,7,12.5,87.5
40,NR-AR-LBD,11,9,0,9,0.0,100.0
40,NR-ER,11,9,1,8,11.11,88.89
40,SR-ARE,11,8,1,7,12.5,87.5
40,SR-MMP,11,7,0,7,0.0,100.0
40,NR-AhR,11,10,0,10,0.0,100.0
40,NR-ER-LBD,11,9,1,8,11.11,88.89
40,SR-ATAD5,11,10,1,9,10.0,90.0
40,SR-p53,11,10,2,8,20.0,80.0
41,NR-AR,4,4,1,3,25.0,75.0
41,NR-Aromatase,4,3,0,3,0.0,100.0
41,NR-PPAR-gamma,4,2,0,2,0.0,100.0
41,SR-HSE,4,2,0,2,0.0,100.0
41,NR-AR-LBD,4,4,1,3,25.0,75.0
41,NR-ER,4,4,0,4,0.0,100.0
41,SR-ARE,4,2,0,2,0.0,100.0
41,SR-MMP,4,3,0,3,0.0,100.0
41,NR-AhR,4,3,0,3,0.0,100.0
41,NR-ER-LBD,4,4,0,4,0.0,100.0
41,SR-ATAD5,4,4,0,4,0.0,100.0
41,SR-p53,4,4,0,4,0.0,100.0
42,NR-AR,2,2,0,2,0.0,100.0
42,NR-Aromatase,2,2,0,2,0.0,100.0
42,NR-PPAR-gamma,2,2,0,2,0.0,100.0
42,SR-HSE,2,1,0,1,0.0,100.0
42,NR-AR-LBD,2,2,0,2,0.0,100.0
42,NR-ER,2,2,0,2,0.0,100.0
42,SR-ARE,2,1,0,1,0.0,100.0
42,SR-MMP,2,1,0,1,0.0,100.0
42,NR-AhR,2,2,0,2,0.0,100.0
42,NR-ER-LBD,2,2,0,2,0.0,100.0
42,SR-ATAD5,2,2,0,2,0.0,100.0
42,SR-p53,2,2,0,2,0.0,100.0
43,NR-AR,1,1,1,0,100.0,0.0
43,NR-Aromatase,1,1,0,1,0.0,100.0
43,NR-PPAR-gamma,1,1,0,1,0.0,100.0
43,NR-AR-LBD,1,1,1,0,100.0,0.0
43,NR-ER,1,1,1,0,100.0,0.0
43,SR-MMP,1,1,0,1,0.0,100.0
43,NR-ER-LBD,1,1,0,1,0.0,100.0
43,SR-ATAD5,1,1,0,1,0.0,100.0
43,SR-p53,1,1,0,1,0.0,100.0
44,NR-AR,6,6,0,6,0.0,100.0
44,NR-Aromatase,6,4,0,4,0.0,100.0
44,NR-PPAR-gamma,6,4,0,4,0.0,100.0
44,SR-HSE,6,5,1,4,20.0,80.0
44,NR-AR-LBD,6,4,0,4,0.0,100.0
44,NR-ER,6,3,0,3,0.0,100.0
44,SR-ARE,6,5,2,3,40.0,60.0
44,SR-MMP,6,4,2,2,50.0,50.0
44,NR-AhR,6,6,2,4,33.33,66.67
44,NR-ER-LBD,6,5,0,5,0.0,100.0
44,SR-ATAD5,6,4,0,4,0.0,100.0
44,SR-p53,6,6,0,6,0.0,100.0
45,NR-AR,1,1,0,1,0.0,100.0
45,NR-Aromatase,1,1,0,1,0.0,100.0
45,NR-PPAR-gamma,1,1,0,1,0.0,100.0
45,SR-HSE,1,1,0,1,0.0,100.0
45,NR-AR-LBD,1,1,0,1,0.0,100.0
45,NR-ER,1,1,0,1,0.0,100.0
45,SR-MMP,1,1,0,1,0.0,100.0
45,NR-AhR,1,1,0,1,0.0,100.0
45,NR-ER-LBD,1,1,0,1,0.0,100.0
45,SR-ATAD5,1,1,0,1,0.0,100.0
45,SR-p53,1,1,0,1,0.0,100.0
46,NR-AR,3,3,0,3,0.0,100.0
46,NR-Aromatase,3,3,0,3,0.0,100.0
46,NR-PPAR-gamma,3,3,0,3,0.0,100.0
46,SR-HSE,3,2,0,2,0.0,100.0
46,NR-AR-LBD,3,3,0,3,0.0,100.0
46,NR-ER,3,3,1,2,33.33,66.67
46,SR-ARE,3,2,0,2,0.0,100.0
46,SR-MMP,3,2,0,2,0.0,100.0
46,NR-AhR,3,3,0,3,0.0,100.0
46,NR-ER-LBD,3,3,0,3,0.0,100.0
46,SR-ATAD5,3,3,1,2,33.33,66.67
46,SR-p53,3,3,1,2,33.33,66.67
49,SR-HSE,1,1,1,0,100.0,0.0
50,NR-AR,9,9,2,7,22.22,77.78
50,NR-Aromatase,9,5,1,4,20.0,80.0
50,NR-PPAR-gamma,9,7,1,6,14.29,85.71
50,SR-HSE,9,7,1,6,14.29,85.71
50,NR-AR-LBD,9,9,2,7,22.22,77.78
50,NR-ER,9,7,2,5,28.57,71.43
50,SR-ARE,9,6,2,4,33.33,66.67
50,SR-MMP,9,6,2,4,33.33,66.67
50,NR-AhR,9,9,0,9,0.0,100.0
50,NR-ER-LBD,9,7,1,6,14.29,85.71
50,SR-ATAD5,9,9,1,8,11.11,88.89
50,SR-p53,9,6,1,5,16.67,83.33
52,NR-AR,34,29,1,28,3.45,96.55
52,NR-Aromatase,34,22,1,21,4.55,95.45
52,NR-PPAR-gamma,34,25,1,24,4.0,96.0
52,SR-HSE,34,23,1,22,4.35,95.65
52,NR-AR-LBD,34,28,2,26,7.14,92.86
52,NR-ER,34,24,8,16,33.33,66.67
52,SR-ARE,34,18,4,14,22.22,77.78
52,SR-MMP,34,23,4,19,17.39,82.61
52,NR-AhR,34,27,7,20,25.93,74.07
52,NR-ER-LBD,34,29,4,25,13.79,86.21
52,SR-ATAD5,34,28,3,25,10.71,89.29
52,SR-p53,34,28,3,25,10.71,89.29
55,NR-AR,4,4,0,4,0.0,100.0
55,NR-Aromatase,4,4,0,4,0.0,100.0
55,NR-PPAR-gamma,4,4,0,4,0.0,100.0
55,SR-HSE,4,2,0,2,0.0,100.0
55,NR-AR-LBD,4,3,0,3,0.0,100.0
55,NR-ER,4,4,0,4,0.0,100.0
55,SR-ARE,4,2,0,2,0.0,100.0
55,SR-MMP,4,4,0,4,0.0,100.0
55,NR-AhR,4,4,0,4,0.0,100.0
55,NR-ER-LBD,4,4,0,4,0.0,100.0
55,SR-ATAD5,4,4,0,4,0.0,100.0
55,SR-p53,4,3,0,3,0.0,100.0
56,NR-AR,2,1,0,1,0.0,100.0
56,NR-Aromatase,2,1,1,0,100.0,0.0
56,SR-HSE,2,1,0,1,0.0,100.0
56,NR-AR-LBD,2,1,1,0,100.0,0.0
56,NR-ER-LBD,2,1,1,0,100.0,0.0
56,SR-ATAD5,2,1,1,0,100.0,0.0
56,SR-p53,2,1,1,0,100.0,0.0
57,NR-AR,15,15,0,15,0.0,100.0
57,NR-Aromatase,15,12,1,11,8.33,91.67
57,NR-PPAR-gamma,15,12,0,12,0.0,100.0
57,SR-HSE,15,12,0,12,0.0,100.0
57,NR-AR-LBD,15,14,0,14,0.0,100.0
57,NR-ER,15,12,0,12,0.0,100.0
57,SR-ARE,15,13,1,12,7.69,92.31
57,SR-MMP,15,12,1,11,8.33,91.67
57,NR-AhR,15,15,1,14,6.67,93.33
57,NR-ER-LBD,15,14,0,14,0.0,100.0
57,SR-ATAD5,15,15,0,15,0.0,100.0
57,SR-p53,15,14,0,14,0.0,100.0
58,NR-AR,45,43,2,41,4.65,95.35
58,NR-Aromatase,45,33,5,28,15.15,84.85
58,NR-PPAR-gamma,45,37,2,35,5.41,94.59
58,SR-HSE,45,33,2,31,6.06,93.94
58,NR-AR-LBD,45,36,1,35,2.78,97.22
58,NR-ER,45,32,9,23,28.12,71.88
58,SR-ARE,45,25,5,20,20.0,80.0
58,SR-MMP,45,36,7,29,19.44,80.56
58,NR-AhR,45,36,11,25,30.56,69.44
58,NR-ER-LBD,45,35,3,32,8.57,91.43
58,SR-ATAD5,45,38,4,34,10.53,89.47
58,SR-p53,45,40,10,30,25.0,75.0
59,NR-AR,11,9,0,9,0.0,100.0
59,NR-Aromatase,11,6,1,5,16.67,83.33
59,NR-PPAR-gamma,11,7,2,5,28.57,71.43
59,SR-HSE,11,10,1,9,10.0,90.0
59,NR-AR-LBD,11,10,0,10,0.0,100.0
59,NR-ER,11,8,0,8,0.0,100.0
59,SR-ARE,11,9,3,6,33.33,66.67
